"","run_id_same_config_different_mode","locus_id","derived_sim_mode","allele_count_mean","allele_count_sd","allele_count_median","allele_count_min","allele_count_max","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.fitness_minimum","hosts.genes_per_chromosome_initial","hosts.introgression_individuals_per_generation","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_allele_sequence_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_allele_sequence_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.fitness_minimum","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.introgression_individuals_per_generation","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","thread_n","hash_no_sim_mode","id_same_config_different_mode"
"36","2022-07-17-3.2022-07-17-4",0,"No-coevolution",4.33666666666667,0.947709067356365,4,3,7,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","1","32","fa65473e2ea98716537abb4d0991c50e",2
"37","2022-07-17-31.2022-07-17-32",0,"Coevolution",8.42416666666667,3.37636380876321,9.5,2,17,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","4","32","ba4b33b2bdf1f4763733aea28a65278a",16
"38","2022-07-17-31.2022-07-17-32",0,"Neutrality",9.61354166666667,0.837757625736971,10,7,12,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","4","32","ba4b33b2bdf1f4763733aea28a65278a",16
"39","2022-07-17-31.2022-07-17-32",0,"No-coevolution",9.5875,1.02767559674169,10,7,12,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","4","32","ba4b33b2bdf1f4763733aea28a65278a",16
"40","2022-07-17-5.2022-07-17-6",0,"Coevolution",14.55,1.41922172939796,15,12,16,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","4","32","981958442cc5fc8e886ab39c25489586",3
"41","2022-07-17-5.2022-07-17-6",0,"Neutrality",9.4975,0.81376425346463,10,8,12,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","4","32","981958442cc5fc8e886ab39c25489586",3
"42","2022-07-17-5.2022-07-17-6",0,"No-coevolution",2.45333333333333,0.552265531773316,2,2,4,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","4","32","981958442cc5fc8e886ab39c25489586",3
"43","2022-07-17-7.2022-07-17-8",0,"Coevolution",5.98,2.14256488984083,6,2,10,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","4","32","60e05549f7a1d26cb08c656234737fcd",4
"44","2022-07-17-7.2022-07-17-8",0,"Neutrality",9.62083333333333,0.653775311061339,10,8,11,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","4","32","60e05549f7a1d26cb08c656234737fcd",4
"45","2022-07-17-7.2022-07-17-8",0,"No-coevolution",6.495,1.33401936997398,6,5,10,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","4","32","60e05549f7a1d26cb08c656234737fcd",4
"46","2022-07-17-9.2022-07-17-10",0,"Coevolution",9.01041666666667,1.38543901354312,9,6,13,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","1","32","9948a013f6e2436aa46bd192b92acdd6",5
"47","2022-07-17-9.2022-07-17-10",0,"Neutrality",9.56104166666667,0.645260146556443,10,8,11,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","1","32","9948a013f6e2436aa46bd192b92acdd6",5
"48","2022-07-17-9.2022-07-17-10",0,"No-coevolution",2.01583333333333,0.451664668340887,2,1,5,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","1","32","9948a013f6e2436aa46bd192b92acdd6",5
