"","run_id_same_config_different_mode","locus_id","derived_sim_mode","allele_count_mean","allele_count_sd","allele_count_median","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.fitness_minimum","hosts.genes_per_chromosome_initial","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_allele_sequence_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_allele_sequence_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.fitness_minimum","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","thread_n","hosts.introgression_individuals_per_generation","pathogens.introgression_individuals_per_generation","hash_no_sim_mode","id_same_config_different_mode"
"53","2022-07-14-41.2022-07-14-42",0,"Neutrality",21.3116666666667,3.35020652976036,21,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-06","10000","4","32","0","500","b0e4b669915bd917b47b24d56e26dddb",21
"54","2022-07-14-41.2022-07-14-42",0,"No-coevolution",41.4033333333333,3.16607468912491,41,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-06","10000","4","32","0","500","b0e4b669915bd917b47b24d56e26dddb",21
"55","2022-07-14-43.2022-07-14-44",0,"Coevolution",158.471666666667,4.82091962169948,158,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","4","32","0","500","709e78ebd5e54d2a91c49029fb611701",22
"56","2022-07-14-43.2022-07-14-44",0,"Neutrality",21.0041666666667,3.16636029274546,21,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","4","32","0","500","709e78ebd5e54d2a91c49029fb611701",22
"57","2022-07-14-43.2022-07-14-44",0,"No-coevolution",41.6316666666667,2.64846266344994,42,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","4","32","0","500","709e78ebd5e54d2a91c49029fb611701",22
"58","2022-07-14-45.2022-07-14-46",0,"Coevolution",242.423333333333,8.49083502103767,242,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-05","10000","1","32","0","500","f06cedde4509cb5f100ae8d0bdee8a6f",23
"59","2022-07-14-45.2022-07-14-46",0,"Neutrality",119.8975,13.0478810444375,119,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-05","10000","1","32","0","500","f06cedde4509cb5f100ae8d0bdee8a6f",23
"60","2022-07-14-45.2022-07-14-46",0,"No-coevolution",118.596666666667,8.32182332552935,118,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-05","10000","1","32","0","500","f06cedde4509cb5f100ae8d0bdee8a6f",23
"61","2022-07-14-47.2022-07-14-48",0,"Coevolution",241.116666666667,9.65687048002624,240,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","1","32","0","500","a946345e83619240b52510d3a3358c5f",24
"62","2022-07-14-47.2022-07-14-48",0,"Neutrality",121.789166666667,11.5292592630598,121,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","1","32","0","500","a946345e83619240b52510d3a3358c5f",24
